rule_id,title_pattern,source,source_url,verified_date,currently_approved,me3_copilot_suggestion,me5_copilot_suggestion,me7_suggestion,rationale,business_decision,reviewer,review_date,review_comments
enterprise-mobility-security,Enterprise Mobility + Security,microsoft_official,https://www.microsoft.com/en-us/licensing/product-licensing/microsoft-365-enterprise,2026-08-04,false,included,included,included,"Microsoft 365 E3/E5/E7 is built from Office 365 + EMS + Windows Enterprise; a standalone EMS line is redundant once the customer has any Microsoft 365 suite tier, though EMS E5-specific advanced features (Cloud App Security, ATP) may exceed what a lower M365 tier provides — flag for seller review if migrating EMS E5 into ME3.",,,,
copilot-family,Copilot,microsoft_official,https://learn.microsoft.com/en-us/microsoft-365/copilot/microsoft-365-copilot-license-feature-overview,2026-08-04,false,retain,retain,included,Copilot is a separate paid add-on for E3/E5; natively bundled only in E7. A standalone Copilot line becomes redundant only when migrating to E7.,,,,
teams-phone-family,Teams Phone,third_party_sourced,https://www.aguidetocloud.com/licensing/microsoft-365-e3/,2026-08-04,false,retain,included,included,Teams Phone System is bundled starting at Microsoft 365 E5.,,,,
audio-conferencing-family,Audio Conferencing,third_party_sourced,https://www.aguidetocloud.com/licensing/microsoft-365-e3/,2026-08-04,false,retain,included,included,Audio Conferencing is bundled starting at Microsoft 365 E5.,,,,
microsoft-365-family,Microsoft 365,heuristic_unverified,,,false,migrate,migrate,migrate,"A Microsoft 365 family row may represent an existing core suite, so migration to the selected target is suggested for business review.",,,,
office-365-family,Office 365,heuristic_unverified,,,false,migrate,migrate,migrate,"Office 365 family rows may be core-suite predecessors; migration is a review suggestion, not a verified entitlement mapping.",,,,
power-bi-family,Power BI,third_party_sourced,https://www.aguidetocloud.com/licensing/microsoft-365-e3/,2026-08-04,false,retain,included,included,Power BI Pro is bundled starting at Microsoft 365 E5; not included in E3.,,,,
defender-family,Defender,microsoft_official,https://learn.microsoft.com/en-us/microsoft-365/copilot/microsoft-365-copilot-license-feature-overview,2026-08-04,false,needs_decision,needs_decision,needs_decision,Microsoft 365 E3 includes basic Defender protection; full Defender XDR is only included from E5 upward. Seller must confirm which Defender plan the existing SKU represents.,,,,
microsoft-teams-family,Microsoft Teams,heuristic_unverified,,,false,retain,retain,retain,Teams add-ons and standalone products require exact entitlement review; retain is the conservative suggestion.,,,,
dataverse-family,Dataverse,heuristic_unverified,,,false,retain,retain,retain,Dataverse capacity is normally quantity-specific add-on capacity; retain is suggested pending workload review.,,,,
power-apps-family,Power Apps,heuristic_unverified,,,false,retain,retain,retain,Power Apps is a distinct workload family; retain is suggested until usage and target entitlement are reviewed.,,,,
power-automate-family,Power Automate,heuristic_unverified,,,false,retain,retain,retain,Power Automate products are separately metered and licensed; retain is the conservative suggestion.,,,,
dynamics-365-family,Dynamics 365,microsoft_official,https://www.microsoft.com/licensing/guidance/Dynamics-365,2026-08-04,false,retain,retain,retain,"Dynamics 365 is a fully separate Microsoft product line, never bundled into any Microsoft 365 Enterprise suite.",,,,
entra-family,Microsoft Entra,microsoft_official,https://learn.microsoft.com/en-us/microsoft-365/copilot/microsoft-365-copilot-license-feature-overview,2026-08-04,false,needs_decision,needs_decision,needs_decision,"Microsoft 365 E3 includes Entra ID P1; E5 includes Entra ID P2; E7 includes the full Entra Suite. Whether a specific existing Entra SKU is redundant depends on its plan level, which this workbook does not indicate — seller must confirm the plan level.",,,,
intune-family,Intune,microsoft_official,https://www.microsoft.com/en-us/microsoft-365/enterprise-mobility-security/compare-plans-and-pricing,2026-08-04,false,needs_decision,needs_decision,needs_decision,Intune Plan 1 baseline is included from E3; Intune Plan 2 plus Advanced Analytics and Remote Help are only included from E5 upward. Seller must confirm which Intune plan the existing SKU represents.,,,,
project-family,Project,heuristic_unverified,,,false,retain,retain,retain,Project-labelled products are separate workload licences; retain is suggested pending application-owner review.,,,,
visio-family,Visio,heuristic_unverified,,,false,retain,retain,retain,Visio products are separate applications; retain is suggested until business usage is reviewed.,,,,
exchange-online-family,Exchange Online,heuristic_unverified,,,false,retain,retain,retain,"Standalone Exchange plans may overlap suites, but exact plan equivalence is unverified; retain is suggested.",,,,
sharepoint-family,SharePoint,heuristic_unverified,,,false,retain,retain,retain,SharePoint rows include server and cloud variants; retain is suggested until the exact deployment is confirmed.,,,,
